,Well,Fluor,Target,Content,Sample,Melt Temp
,G07,SYBR,,Std-3,,87.9
,G08,SYBR,,Std-3,,87.9
,G09,SYBR,,Std-3,,87.9
,G10,SYBR,,Std-4,,87.9
,G11,SYBR,,Std-4,,87.9
,G12,SYBR,,Std-4,,87.9
,G13,SYBR,,Std-5,,87.9
,G14,SYBR,,Std-5,,87.9
,G15,SYBR,,Std-5,,87.9
,G16,SYBR,,Std-6,,87.9
,G17,SYBR,,Std-6,,87.9
,G18,SYBR,,Std-6,,87.9
,H01,SYBR,,Unkn,,89.7
,H02,SYBR,,Unkn,,89.4
,H03,SYBR,,Unkn,,None
,H04,SYBR,,Unkn,,90
,H05,SYBR,,Unkn,,89.7
,H06,SYBR,,Unkn,,89.7
,H07,SYBR,,Unkn,,89.7
,H08,SYBR,,Unkn,,88.2
,H09,SYBR,,Unkn,,90.3
,H10,SYBR,,Unkn,,None
,H11,SYBR,,Unkn,,None
,H12,SYBR,,Unkn,,89.7
,H13,SYBR,,Unkn,,89.4
,H14,SYBR,,Unkn,,89.7
,H15,SYBR,,Unkn,,89.7
,H16,SYBR,,Unkn,,89.7
,H17,SYBR,,Unkn,,89.7
,H18,SYBR,,Unkn,,89.7
,H19,SYBR,,Unkn,,89.7
,H20,SYBR,,Unkn,,89.7
,H21,SYBR,,Unkn,,89.7
,H22,SYBR,,Unkn,,89.7
,H23,SYBR,,Unkn,,89.7
,H24,SYBR,,Unkn,,89.7
,I01,SYBR,,Unkn,,89.4
,I02,SYBR,,Unkn,,None
,I03,SYBR,,Unkn,,89.7
,I04,SYBR,,Unkn,,90
,I05,SYBR,,Unkn,,89.7
,I06,SYBR,,Unkn,,89.7
,I07,SYBR,,Unkn,,89.7
,I08,SYBR,,Unkn,,89.7
,I09,SYBR,,Unkn,,89.4
,I10,SYBR,,Unkn,,89.7
,I11,SYBR,,Unkn,,None
,I12,SYBR,,Unkn,,89.7
,I13,SYBR,,Unkn,,89.4
,I14,SYBR,,Unkn,,None
,I15,SYBR,,Unkn,,89.7
,I16,SYBR,,Unkn,,None
,I17,SYBR,,Unkn,,89.7
,I18,SYBR,,Unkn,,89.4
,I19,SYBR,,Unkn,,89.7
,I20,SYBR,,Unkn,,89.7
,I21,SYBR,,Unkn,,89.7
,I22,SYBR,,Unkn,,89.7
,I23,SYBR,,Unkn,,89.7
,I24,SYBR,,Unkn,,89.7
,J01,SYBR,,Neg Ctrl,,None
