,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Std-3,,84
,A02,SYBR,,Std-3,,84
,A03,SYBR,,Std-3,,84
,A04,SYBR,,Std-4,,83.5
,A05,SYBR,,Std-4,,83.5
,A06,SYBR,,Std-4,,83.5
,A07,SYBR,,Std-5,,84
,A08,SYBR,,Std-5,,83.5
,A09,SYBR,,Std-5,,83.5
,A10,SYBR,,Std-6,,83.5
,A11,SYBR,,Std-6,,83.5
,A12,SYBR,,Std-6,,83.5
,A13,SYBR,,Std-7,,83.5
,A14,SYBR,,Std-7,,83.5
,A15,SYBR,,Std-7,,83.5
,A19,SYBR,,Unkn-1,,83.5
,A20,SYBR,,Unkn-1,,83.5
,A21,SYBR,,Unkn-1,,83.5
,A22,SYBR,,Unkn,,83.5
,A23,SYBR,,Unkn,,83.5
,A24,SYBR,,Unkn,,84
,B01,SYBR,,Unkn,,84
,B02,SYBR,,Unkn,,83.5
,B03,SYBR,,Unkn,,84
,B04,SYBR,,Unkn,,84
,B05,SYBR,,Unkn,,83.5
,B06,SYBR,,Unkn,,None
,B07,SYBR,,Unkn,,83.5
,B08,SYBR,,Unkn,,83.5
,B09,SYBR,,Unkn,,83.5
,B10,SYBR,,Unkn,,83.5
,B11,SYBR,,Unkn,,84
,B12,SYBR,,Unkn,,None
,B13,SYBR,,Unkn,,84
,B14,SYBR,,Unkn,,84
,B15,SYBR,,Unkn,,83.5
,B16,SYBR,,Unkn,,83.5
,B17,SYBR,,Unkn,,83.5
,B18,SYBR,,Unkn,,84
,B19,SYBR,,Unkn,,83.5
,B20,SYBR,,Unkn,,83.5
,B21,SYBR,,Unkn,,83.5
,B22,SYBR,,Unkn,,83.5
,B23,SYBR,,Unkn,,83.5
,B24,SYBR,,Unkn,,84
,C01,SYBR,,Unkn,,84
,C02,SYBR,,Unkn,,84
,C03,SYBR,,Unkn,,84
,C04,SYBR,,Unkn,,84
,C05,SYBR,,Unkn,,83.5
,C06,SYBR,,Unkn,,84
,C07,SYBR,,Unkn,,83.5
,C08,SYBR,,Unkn,,84
,C09,SYBR,,Unkn,,84
,C10,SYBR,,Unkn,,84
,C11,SYBR,,Unkn,,83.5
,C13,SYBR,,Unkn,,84
,C14,SYBR,,Unkn,,83.5
,C15,SYBR,,Unkn,,84
,C16,SYBR,,Unkn,,84
,C17,SYBR,,Unkn,,83.5
,C18,SYBR,,Unkn,,84
,C19,SYBR,,Unkn,,84
,C20,SYBR,,Unkn,,84
,C21,SYBR,,Unkn,,84
,C22,SYBR,,Neg Ctrl,,83.5
,C23,SYBR,,Neg Ctrl,,84
,C24,SYBR,,Neg Ctrl,,83
