,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Std-3,,15.4406309260284,17600000
,A02,SYBR,,Std-3,,15.7537420063919,17600000
,A03,SYBR,,Std-3,,15.8769093542648,17600000
,A04,SYBR,,Std-4,,19.0671869090806,1760000
,A05,SYBR,,Std-4,,19.5784014005832,1760000
,A06,SYBR,,Std-4,,19.2785951233749,1760000
,A07,SYBR,,Std-5,,21.4736352186654,176000
,A08,SYBR,,Std-5,,21.7381776732716,176000
,A09,SYBR,,Std-5,,21.7346458596583,176000
,A10,SYBR,,Std-6,,25.4595301573056,17600
,A11,SYBR,,Std-6,,25.3489803811479,17600
,A12,SYBR,,Std-6,,25.8433223669894,17600
,A13,SYBR,,Std-7,,29.0172399821187,1760
,A14,SYBR,,Std-7,,29.27178079775,1760
,A15,SYBR,,Std-7,,29.1734023356736,1760
,A19,SYBR,,Unkn-1,,18.9855869612002,1721128.69234093
,A20,SYBR,,Unkn-1,,18.9467087030358,1768211.71119131
,A21,SYBR,,Unkn-1,,18.9575822401155,1754915.20353157
,A22,SYBR,,Unkn,,18.0602895303225,3271671.20702224
,A23,SYBR,,Unkn,,18.0688528844508,3252280.4893
,A24,SYBR,,Unkn,,18.6257444280239,2209519.06319491
,B01,SYBR,,Unkn,,19.4377815601142,1257438.84163854
,B02,SYBR,,Unkn,,17.0837793071991,6444147.33161885
,B03,SYBR,,Unkn,,19.5692081194556,1147796.05507051
,B04,SYBR,,Unkn,,18.2480536938351,2871858.19165761
,B05,SYBR,,Unkn,,18.6685811002235,2144783.51185516
,B06,SYBR,,Unkn,,18.3106297521182,2749778.55678494
,B07,SYBR,,Unkn,,19.1597302025928,1525151.84620228
,B08,SYBR,,Unkn,,18.4054588658945,2574594.76474132
,B09,SYBR,,Unkn,,18.1103462220417,3159938.92204436
,B10,SYBR,,Unkn,,17.4131292216029,5127124.81043313
,B11,SYBR,,Unkn,,17.4490465213989,5000870.79243623
,B12,SYBR,,Unkn,,19.9729093693256,867277.152578966
,B13,SYBR,,Unkn,,18.2389850166929,2889994.34451957
,B14,SYBR,,Unkn,,17.3589276197649,5323710.73824999
,B15,SYBR,,Unkn,,17.2502349284338,5740937.84998156
,B16,SYBR,,Unkn,,17.8626806870512,3752703.57975159
,B17,SYBR,,Unkn,,17.1852661805433,6005780.52871304
,B18,SYBR,,Unkn,,17.6616529477915,4314689.93028251
,B19,SYBR,,Unkn,,17.3279573268176,5439403.73419258
,B20,SYBR,,Unkn,,17.0324774084813,6677775.68612396
,B21,SYBR,,Unkn,,17.1964231114856,5959446.07743599
,B22,SYBR,,Unkn,,16.8888933565087,7377669.22614911
,B23,SYBR,,Unkn,,16.5642894932265,9242297.07641048
,B24,SYBR,,Unkn,,18.86364762099,1873161.85664889
,C01,SYBR,,Unkn,,16.8131097384668,7776178.68847851
,C02,SYBR,,Unkn,,16.888868918951,7377794.38200711
,C03,SYBR,,Unkn,,17.6597963874903,4320254.21128467
,C04,SYBR,,Unkn,,18.1893217876946,2991364.50695718
,C05,SYBR,,Unkn,,17.0333014959389,6673956.67052165
,C06,SYBR,,Unkn,,16.3513150902277,10714869.9273095
,C07,SYBR,,Unkn,,16.8795324579632,7425766.34370685
,C08,SYBR,,Unkn,,17.1775898940372,6037868.98160242
,C09,SYBR,,Unkn,,17.1780664755678,6035871.79072834
,C10,SYBR,,Unkn,,17.7734385112309,3992535.30200665
,C11,SYBR,,Unkn,,17.0809966321867,6456607.33015839
,C13,SYBR,,Unkn,,16.4669890296939,9888122.07341108
,C14,SYBR,,Unkn,,17.4616387681908,4957347.41176487
,C15,SYBR,,Unkn,,17.2386480191684,5787300.5516901
,C16,SYBR,,Unkn,,17.0831230114976,6447083.8618185
,C17,SYBR,,Unkn,,16.4846888652468,9767371.76471358
,C18,SYBR,,Unkn,,16.3779619516987,10518491.8683887
,C19,SYBR,,Unkn,,17.8011410041939,3916490.59528171
,C20,SYBR,,Unkn,,16.3824780125078,10485568.579938
,C21,SYBR,,Unkn,,18.3846216482604,2612106.21793048
,C22,SYBR,,Neg Ctrl,,31.9334840169979,214.938589571242
,C23,SYBR,,Neg Ctrl,,31.2829852423203,337.617620477817
,C24,SYBR,,Neg Ctrl,,28.3121872692821,2654.93378116164
